Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.16,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.32,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.63,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.94,TraderOne,Tick,0,0,0,0,147600,,0,0,0,OK
1.1,TraderOne,Tick,1,0,1,0,147000,147100,-15,-146985,15,OK
1.41,TraderOne,Tick,1,0,1,-1,147000,147100,-15,115,15,OK
1.57,TraderOne,Tick,1,0,1,-1,147000,147100,-15,115,15,OK
1.88,TraderOne,Tick,1,0,1,-1,147000,147100,-15,115,15,OK
2.19,TraderOne,Tick,1,0,1,-1,147000,146900,-15,115,215,OK
2.66,TraderOne,Tick,11,0,11,-1,146400,146900,-162,-1466738,62,OK
2.66,TraderOne,Tick,11,0,11,-11,146400,146900,-162,262,-1938,OK
2.97,TraderOne,Tick,11,0,11,-11,146400,146900,-162,262,-1938,OK
3.13,TraderOne,Tick,11,0,11,-11,146400,146900,-162,262,-1938,OK
3.44,TraderOne,Tick,11,10,1,-11,147500,146900,-309,1472409,3609,OK
3.75,TraderOne,Tick,21,10,11,-1,146300,146900,-455,-1462445,4355,OK
3.91,TraderOne,Tick,21,10,11,-11,146300,146900,-455,5555,3355,OK
4.22,TraderOne,Tick,21,10,11,-11,146300,146900,-455,5555,3355,OK
4.38,TraderOne,Tick,21,10,11,-11,146300,146900,-455,5555,3355,OK
4.69,TraderOne,Tick,31,10,21,-11,146300,146900,-601,-1459299,5501,OK
5.0,TraderOne,Tick,31,10,21,-21,146300,146900,-601,6701,2501,OK
5.32,TraderOne,Tick,31,10,21,-21,146300,146800,-601,6701,2501,OK
5.78,TraderOne,Tick,31,10,21,-21,146300,146800,-601,6701,2501,OK
5.94,TraderOne,Tick,31,10,21,-21,146300,146800,-601,6701,2501,OK
6.57,TraderOne,Tick,31,10,21,-21,146300,146800,-601,6701,2501,OK
6.88,TraderOne,Tick,31,30,1,-1,147000,146700,-454,13554,13754,OK
6.88,TraderOne,Tick,31,30,1,-1,147000,146700,-454,13554,13754,OK
7.35,TraderOne,Tick,31,40,-9,9,147000,146900,-160,14260,13360,OK
7.35,TraderOne,Tick,31,40,-9,9,147000,146900,-160,14260,13360,OK
7.66,TraderOne,Tick,31,40,-9,9,147000,146900,-160,14260,13360,OK
7.97,TraderOne,Tick,31,40,-9,9,147000,146900,-160,14260,13360,OK
8.13,TraderOne,Tick,31,40,-9,9,147000,146900,-160,14260,13360,OK
8.44,TraderOne,Tick,31,40,-9,9,147000,146900,-160,14260,13360,OK
8.75,TraderOne,Tick,31,40,-9,9,147000,146900,-160,14260,13360,OK
8.91,TraderOne,Tick,41,40,1,9,146500,146900,-306,-1450594,18206,OK
9.22,TraderOne,Tick,51,40,11,-11,146400,146900,-13,19113,16913,OK
9.53,TraderOne,Tick,61,40,21,-21,146400,146900,280,20820,16620,OK
9.85,TraderOne,Tick,71,40,31,-31,146400,146900,573,22527,16327,OK
10.16,TraderOne,Tick,81,40,41,-41,146400,146900,866,24234,16034,OK
10.16,TraderOne,Tick,91,40,51,-41,146400,146900,1159,-1440059,18741,OK
10.47,TraderOne,Tick,101,40,61,-61,146400,146900,1452,29648,17448,OK
10.94,TraderOne,Tick,111,40,71,-71,146400,147000,1745,33355,19155,OK
10.94,TraderOne,Tick,111,50,61,-71,147300,147000,1598,1503502,45702,OK
11.25,TraderOne,Tick,111,50,61,-61,147300,147000,1598,31502,43702,OK
